epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
155,52214.8,1.1455,0.81158,1.38276,0.80514,0.66838,0.74767,0.4416,1.583,1.10294,1.69162,0.002377,0.002377,0.002377
156,52540.1,1.14739,0.80858,1.37925,0.79902,0.6709,0.74754,0.44236,1.58291,1.10334,1.69172,0.0023275,0.0023275,0.0023275
157,52867.3,1.13894,0.7973,1.37753,0.80198,0.67003,0.74753,0.44269,1.58298,1.10275,1.69199,0.002278,0.002278,0.002278
158,53193.9,1.1361,0.80565,1.37539,0.79811,0.67133,0.74725,0.44281,1.58317,1.10236,1.69211,0.0022285,0.0022285,0.0022285
159,53523,1.1339,0.79504,1.37232,0.79527,0.67197,0.74722,0.44333,1.58382,1.10238,1.69285,0.002179,0.002179,0.002179
160,53851.5,1.12065,0.78804,1.36321,0.79533,0.67292,0.74682,0.44351,1.5849,1.10231,1.69355,0.0021295,0.0021295,0.0021295
161,54177.8,1.12328,0.78865,1.3622,0.7955,0.67292,0.74691,0.4438,1.58473,1.1036,1.69353,0.00208,0.00208,0.00208
162,54505.7,1.11722,0.78314,1.35884,0.79697,0.67206,0.74688,0.44419,1.58468,1.1034,1.69333,0.0020305,0.0020305,0.0020305
163,54841,1.1182,0.77517,1.35255,0.79811,0.67317,0.7473,0.44458,1.5848,1.1032,1.6933,0.001981,0.001981,0.001981
164,55167.3,1.11524,0.77447,1.35568,0.7966,0.6728,0.74701,0.445,1.58452,1.10385,1.69297,0.0019315,0.0019315,0.0019315
165,55495,1.11277,0.77093,1.35245,0.7975,0.67262,0.74721,0.44548,1.58401,1.10388,1.69241,0.001882,0.001882,0.001882
166,55823.5,1.10953,0.77225,1.35415,0.79942,0.6717,0.7475,0.44612,1.58356,1.10399,1.69218,0.0018325,0.0018325,0.0018325
167,56157.5,1.10126,0.76458,1.34524,0.79757,0.67286,0.74754,0.44639,1.58333,1.10406,1.69203,0.001783,0.001783,0.001783
168,56492,1.101,0.76487,1.34802,0.80092,0.67022,0.74758,0.44667,1.58344,1.10457,1.69236,0.0017335,0.0017335,0.0017335
169,56821.6,1.09764,0.75988,1.34558,0.79992,0.67225,0.74821,0.4471,1.58352,1.10449,1.69236,0.001684,0.001684,0.001684
170,57149.2,1.08944,0.75875,1.3411,0.80107,0.67212,0.74854,0.44767,1.58336,1.105,1.69219,0.0016345,0.0016345,0.0016345
171,57475.1,1.09248,0.75418,1.34046,0.80383,0.66894,0.74796,0.4477,1.58377,1.10581,1.69284,0.001585,0.001585,0.001585
172,57799.7,1.08541,0.74589,1.33643,0.801,0.67206,0.74776,0.44809,1.58367,1.10568,1.69253,0.0015355,0.0015355,0.0015355
173,58127,1.0844,0.74838,1.33515,0.80137,0.67267,0.74819,0.44821,1.58414,1.10586,1.69314,0.001486,0.001486,0.001486
174,58452.5,1.08116,0.74619,1.32843,0.80019,0.67335,0.74775,0.44848,1.58402,1.10567,1.69329,0.0014365,0.0014365,0.0014365
175,58778.4,1.07768,0.74484,1.32965,0.80069,0.6735,0.7479,0.44873,1.58407,1.10591,1.69349,0.001387,0.001387,0.001387
176,59111.7,1.0755,0.73705,1.32762,0.79936,0.67452,0.74723,0.44871,1.58344,1.10677,1.69356,0.0013375,0.0013375,0.0013375
177,59444.4,1.06844,0.73946,1.32147,0.80018,0.67429,0.74727,0.44939,1.58314,1.10718,1.6936,0.001288,0.001288,0.001288
178,59776.1,1.06339,0.72827,1.31725,0.79939,0.67501,0.74783,0.44959,1.58271,1.10776,1.6935,0.0012385,0.0012385,0.0012385
179,60110.1,1.07238,0.73078,1.32306,0.80227,0.67348,0.74773,0.44968,1.58259,1.10848,1.69387,0.001189,0.001189,0.001189
180,60440.5,1.06483,0.72357,1.31664,0.80359,0.67409,0.74844,0.45018,1.58309,1.10853,1.69446,0.0011395,0.0011395,0.0011395
181,60771.9,1.06077,0.72581,1.3157,0.80122,0.6765,0.7484,0.45045,1.5835,1.10923,1.69547,0.00109,0.00109,0.00109
182,61105.4,1.0619,0.71875,1.3167,0.80824,0.67206,0.74797,0.45093,1.58366,1.10984,1.69578,0.0010405,0.0010405,0.0010405
183,61439,1.05242,0.71483,1.30737,0.80737,0.67317,0.74814,0.45062,1.58304,1.11049,1.69494,0.000991,0.000991,0.000991
184,61776.3,1.04938,0.71214,1.30679,0.80811,0.67262,0.74807,0.45094,1.58312,1.1103,1.69534,0.0009415,0.0009415,0.0009415
